티커,종목명,시장,타깃그룹,Sector,Industry,종가,시가총액,PBR,PER,ROE,BPS,DIV
900110,딥커머스,KOSDAQ,일반,기타 금융업,"스포츠화, 스포츠의류",5870.0,21645000000.0,0.00735,0.99,0.7455178875638842,798639.4557823129,102.056
900120,씨엑스아이,KOSDAQ,일반,기타 금융업,건강보조식품,1040.0,17336000000.0,0.01354,0.73,1.848730769230769,76809.45347119645,309.395
084180,수성웹툰,KOSDAQ,일반,일반 목적용 기계 제조업,전동지게차,240.0,4337000000.0,0.03134,,-28.61080833333333,7657.945118059987,145.833
001470,삼부토건,KOSPI,일반,,,5820.0,227794000000.0,0.03218,0.01,231.82759518900343,180857.67557489124,16096.2
900270,헝셩그룹,KOSDAQ,일반,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,3090.0,33100000000.0,0.03433,,-0.22775566343042072,90008.73871249636,49.482
099220,SDN,KOSDAQ,일반,기계장비 및 관련 물품 도매업,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계",5440.0,34241000000.0,0.04188,,-0.0816044117647059,129894.93791786054,22.978
082660,코스나인,KOSDAQ,일반,기타 화학제품 제조업,화장품,1.0,99000000.0,0.04259,,-894.3900000000001,23.4796900680911,20565.0
312610,에이에프더블류,KOSDAQ,일반,1차 비철금속 제조업,음극마찰용접단자,118.0,2390000000.0,0.05442,,-22.967084745762712,2168.3204704152886,42.373
900340,윙입푸드,KOSDAQ,일반,기타 금융업,육가공 제품,1327.0,47218000000.0,0.06084,1.98,3.0718010550113037,21811.30834976989,3.063
008290,원풍물산,KOSDAQ,일반,봉제의복 제조업,남성용신사복,20.0,406000000.0,0.06139,,-95.15450000000001,325.78595862518324,373.418
046070,코다코,KOSDAQ,일반,자동차 신품 부품 제조업,"Oil Pump, Throttle Body",145.0,2044000000.0,0.07073,0.11,62.87653103448275,2050.049483953061,12142.5
109960,앱토크롬,KOSDAQ,건설/인프라 피어,기타 전문 도매업,"모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매",1825.0,27616000000.0,0.07574,0.55,13.691301917808218,24095.590176921047,
900300,오가닉티코스메틱,KOSDAQ,일반,기타 금융업,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",3010.0,61946000000.0,0.07627,,-16.011632225913623,39465.05834535204,2038.37
002820,SUN&L,KOSPI,일반,플라스틱제품 제조업,"펌프 디스펜서, 스프레이 트리거",1444.0,17419000000.0,0.07839,2.25,3.4852063711911354,18420.716928179616,5.54
900250,크리스탈신소재,KOSDAQ,일반,기타 금융업,"합성운모 플레이크, 파우더, 테이프",1233.0,44159000000.0,0.08051,,-1.3385685320356853,15314.867718295864,8.934
900310,컬러레이,KOSDAQ,일반,기타 금융업,화장품용 진주광택안료,2175.0,27858000000.0,0.08266,,-0.26603218390804595,26312.605855310914,2.46
052300,오션인더블유,KOSDAQ,일반,상품 종합 도매업,운송,1868.0,30344000000.0,0.08662,,-15.07503319057816,21565.458323712766,
007460,에이프로젠,KOSPI,일반,의약품 제조업,"단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대",2015.0,50024000000.0,0.09392,,-17.63272258064516,21454.42930153322,370.361
000180,성창기업지주,KOSPI,일반,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",5010.0,69891000000.0,0.10327,,-2.4178784431137723,48513.60511281108,0.998
011080,형지I&C,KOSDAQ,일반,봉제의복 제조업,"의복, 악세사리",653.0,4633000000.0,0.10574,,-26.847920367534456,6175.524872328352,49.916
040610,SG&G,KOSDAQ,일반,자동차 신품 부품 제조업,생활정보신문,3270.0,55732000000.0,0.10651,0.58,18.220701529051986,30701.342596939256,0.727
363280,티와이홀딩스,KOSPI,일반,기타 금융업,지주사업,2040.0,92814000000.0,0.11093,,-8.907026470588237,18389.97566032633,7.353
308100,형지글로벌,KOSDAQ,일반,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,304.0,7849000000.0,0.11328,,-13.452,2683.6158192090393,
003060,에이프로젠바이오로직스,KOSPI,일반,의약품 제조업,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",1636.0,26603000000.0,0.11436,,-40.739002444987776,14305.701294158796,250696.0
001770,SHD,KOSPI,일반,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",5130.0,6232000000.0,0.11678,9.28,1.2588565302144248,43928.75492378832,3.899
006200,한국전자홀딩스,KOSPI,일반,기타 금융업,"시장조사,경영컨설팅",1898.0,17766000000.0,0.11936,,-2.307962065331928,15901.4745308311,5.269
104480,티케이케미칼,KOSDAQ,일반,화학섬유 제조업,"수지, 폴리에스터, 스판덱스",1850.0,168156000000.0,0.12525,2.74,4.576702702702703,14770.459081836327,
037400,우리엔터프라이즈,KOSDAQ,일반,상품 종합 도매업,"변환장치 제조업 백열전구, 형광등",3615.0,18959000000.0,0.12891,144.6,0.08914937759336099,28042.820572492437,2.766
306040,에스제이그룹,KOSDAQ,일반,"가죽, 가방 및 유사제품 제조업","캉골 가방/모자, 헬렌카민스키 모자",1618.0,15026000000.0,0.12925,,-7.253337453646477,12518.375241779497,15.451
011370,서한,KOSDAQ,건설/인프라 피어,건물 건설업,"건축, 토목",3720.0,75065000000.0,0.13286,3.94,3.3715010752688173,27999.39786241156,6.72
123840,뉴온,KOSDAQ,일반,기타 식품 제조업,건강기능식품 및 생활용품 외,1871.0,29099000000.0,0.13593,,-63.882014430785674,13764.437578165232,468.004
001810,무림SP,KOSDAQ,일반,"펄프, 종이 및 판지 제조업","아트지,CCP지",1164.0,25768000000.0,0.13598,,-7.628431271477662,8560.082365053686,1.289
